#
#	Japanese NetHack Copyright (c) Issei Numata 2000
#	JNetHack may be freely redistributed.  See license for details. 
#
#	English -> Japanese monster table
#
player:			あなた:
#
#	ants
#
giant ant:		巨大蟻:
killer bee:		殺人蜂:
soldier ant:		兵隊蟻:
fire ant:		火蟻:
giant beetle:		巨大カブト虫:
queen bee:		女王蜂:
# 追加 for Slash'EM
# 追加 by Ooi Takefumi
snow ant:		雪蟻:
tsetse fly:		ツェツェバエ:
giant wasp:		巨大スズメバチ:
black wasp:		黒色スズメバチ:
army ant:		軍隊蟻:
spitting beetle:	毒吐きカブト虫:
assassin bug:		暗殺虫:
# 追加 by Kihara Tomoyasu
killer beetle:		殺人カブト虫:
# 追加 by Shiganai Sakusha
giant tick:		巨大ダニ:
giant flea:		巨大ノミ:
giant louse:		巨大シラミ:
migo drone:		ミ＝ゴの働き手:
yellow jacket:		黄色スズメバチ:
migo warrior:		ミ＝ゴの戦士:
migo queen:		ミ＝ゴの女王:
#
#	blobs
#
acid blob:		酸のブロッブ:
quivering blob:		震えるブロッブ:
gelatinous cube:	ゼラチンキューブ:
# 追加 for Slash'EM
# 追加 by Ooi Takefumi
jiggling blob:		揺れるブロッブ:
lava blob:		溶岩のブロッブ:
#burbling blob:		おしゃべりブロッブ:
# 追加 by Shiganai Sakusha
#static blob:		静かなブロッブ:
burbling blob:		泡立つブロッブ:
static blob:		静電のブロッブ:
#
#	cockatrice
#
chickatrice:		チカトリス:
cockatrice:		コカトリス:
pyrolisk:		ピロリスク:
# 追加 by Shiganai Sakusha
chicken:		ニワトリ:
cockatoo:		ボタンインコ:
parrot:			オウム:
#
#	dogs and other canines
#
jackal:			ジャッカル:
fox:			狐:
coyote:			コヨーテ:
werejackal:		ジャッカル人間:
little dog:		仔犬:
dog:			犬:
large dog:		大きな犬:
#dingo:			野犬:
wolf:			狼:
werewolf:		狼人間:
warg:			ワーグ:
winter wolf:		冬狼:
winter wolf cub:	冬狼の子:
hell hound pup:		ヘルハウンドの仔:
hell hound:		ヘルハウンド:
Cerberus:		ケルベロス:
# 追加 for Slash'EM
# 追加 by Ooi Takefumi
